Logging to experiments/20250223_030933
---------------------------------
| rollout/           |          |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 191         |
|    time_elapsed         | 692         |
|    total_timesteps      | 391168      |
| train/                  |             |
|    approx_kl            | 0.007036902 |
|    clip_fraction        | 0.0992      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.613      |
|    explained_variance   | 0.47        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00218     |
|    n_updates            | 1900        |
|    policy_gradient_loss | -0.008      |
|    value_loss           | 0.00701     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 85          |
|    ep_rew_mean          | 0.187       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 192         |
|    time_elapsed         | 695         |
|    total_timesteps      | 393216      |
| train/                  |             |
|    approx_kl            | 0.012154379 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.509      |
|    explained_variance   | 0.462       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0149     |
|    n_updates            | 1910        |
|    policy_gradient_loss | -0.00944    |
|    value_loss           | 0.00605     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 81.6         |
|    ep_rew_mean          | 0.193        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 193          |
|    time_elapsed         | 699          |
|    total_timesteps      | 395264       |
| train/                  |              |
|    approx_kl            | 0.0067337854 |
|    clip_fraction        | 0.0399       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.457       |
|    explained_variance   | 0.51         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0235       |
|    n_updates            | 1920         |
|    policy_gradient_loss | -0.00585     |
|    value_loss           | 0.00617      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 81           |
|    ep_rew_mean          | 0.188        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 194          |
|    time_elapsed         | 702          |
|    total_timesteps      | 397312       |
| train/                  |              |
|    approx_kl            | 0.0030571767 |
|    clip_fraction        | 0.0281       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.46        |
|    explained_variance   | 0.595        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.013       |
|    n_updates            | 1930         |
|    policy_gradient_loss | -0.0033      |
|    value_loss           | 0.00441      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 82.2         |
|    ep_rew_mean          | 0.19         |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 195          |
|    time_elapsed         | 706          |
|    total_timesteps      | 399360       |
| train/                  |              |
|    approx_kl            | 0.0056254556 |
|    clip_fraction        | 0.0413       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.483       |
|    explained_variance   | 0.392        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0176      |
|    n_updates            | 1940         |
|    policy_gradient_loss | -0.00489     |
|    value_loss           | 0.00629      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 83.3        |
|    ep_rew_mean          | 0.196       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 196         |
|    time_elapsed         | 709         |
|    total_timesteps      | 401408      |
| train/                  |             |
|    approx_kl            | 0.015944907 |
|    clip_fraction        | 0.0896      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.662      |
|    explained_variance   | 0.342       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0104      |
|    n_updates            | 1950        |
|    policy_gradient_loss | -0.0044     |
|    value_loss           | 0.00423     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 81.7        |
|    ep_rew_mean          | 0.21        |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 197         |
|    time_elapsed         | 713         |
|    total_timesteps      | 403456      |
| train/                  |             |
|    approx_kl            | 0.017977143 |
|    clip_fraction        | 0.0785      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.505      |
|    explained_variance   | 0.295       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0203     |
|    n_updates            | 1960        |
|    policy_gradient_loss | -0.00626    |
|    value_loss           | 0.00627     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 82.9         |
|    ep_rew_mean          | 0.189        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 198          |
|    time_elapsed         | 716          |
|    total_timesteps      | 405504       |
| train/                  |              |
|    approx_kl            | 0.0079743005 |
|    clip_fraction        | 0.0756       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.413       |
|    explained_variance   | 0.316        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00325     |
|    n_updates            | 1970         |
|    policy_gradient_loss | -0.0112      |
|    value_loss           | 0.00592      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 80.6         |
|    ep_rew_mean          | 0.18         |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 199          |
|    time_elapsed         | 720          |
|    total_timesteps      | 407552       |
| train/                  |              |
|    approx_kl            | 0.0052292505 |
|    clip_fraction        | 0.071        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.477       |
|    explained_variance   | 0.799        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0146      |
|    n_updates            | 1980         |
|    policy_gradient_loss | -0.00409     |
|    value_loss           | 0.00342      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 82.4         |
|    ep_rew_mean          | 0.182        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 200          |
|    time_elapsed         | 724          |
|    total_timesteps      | 409600       |
| train/                  |              |
|    approx_kl            | 0.0033672086 |
|    clip_fraction        | 0.0488       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.514       |
|    explained_variance   | 0.624        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00135     |
|    n_updates            | 1990         |
|    policy_gradient_loss | -0.00274     |
|    value_loss           | 0.004        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 83.9        |
|    ep_rew_mean          | 0.141       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 201         |
|    time_elapsed         | 727         |
|    total_timesteps      | 411648      |
| train/                  |             |
|    approx_kl            | 0.005167514 |
|    clip_fraction        | 0.0656      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.475      |
|    explained_variance   | 0.528       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0453      |
|    n_updates            | 2000        |
|    policy_gradient_loss | -0.00895    |
|    value_loss           | 0.00386     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 85          |
|    ep_rew_mean          | 0.173       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 202         |
|    time_elapsed         | 731         |
|    total_timesteps      | 413696      |
| train/                  |             |
|    approx_kl            | 0.018076917 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.452      |
|    explained_variance   | 0.418       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.03        |
|    n_updates            | 2010        |
|    policy_gradient_loss | -0.00453    |
|    value_loss           | 0.00422     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 84.7         |
|    ep_rew_mean          | 0.191        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 203          |
|    time_elapsed         | 734          |
|    total_timesteps      | 415744       |
| train/                  |              |
|    approx_kl            | 0.0059000356 |
|    clip_fraction        | 0.0714       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.551       |
|    explained_variance   | 0.292        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00328      |
|    n_updates            | 2020         |
|    policy_gradient_loss | -0.00407     |
|    value_loss           | 0.00599      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 85.3        |
|    ep_rew_mean          | 0.194       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 204         |
|    time_elapsed         | 738         |
|    total_timesteps      | 417792      |
| train/                  |             |
|    approx_kl            | 0.005007493 |
|    clip_fraction        | 0.0387      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.389      |
|    explained_variance   | 0.678       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0355     |
|    n_updates            | 2030        |
|    policy_gradient_loss | -0.00191    |
|    value_loss           | 0.00388     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 86.7         |
|    ep_rew_mean          | 0.211        |
| time/                   |              |
|    fps                  | 566          |
|    iterations           | 205          |
|    time_elapsed         | 741          |
|    total_timesteps      | 419840       |
| train/                  |              |
|    approx_kl            | 0.0044167414 |
|    clip_fraction        | 0.0448       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.392       |
|    explained_variance   | 0.528        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00163      |
|    n_updates            | 2040         |
|    policy_gradient_loss | -0.00457     |
|    value_loss           | 0.00488      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 91.2         |
|    ep_rew_mean          | 0.184        |
| time/                   |              |
|    fps                  | 566          |
|    iterations           | 206          |
|    time_elapsed         | 745          |
|    total_timesteps      | 421888       |
| train/                  |              |
|    approx_kl            | 0.0033961553 |
|    clip_fraction        | 0.0284       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.381       |
|    explained_variance   | 0.743        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00332     |
|    n_updates            | 2050         |
|    policy_gradient_loss | -0.00101     |
|    value_loss           | 0.00601      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 96.3        |
|    ep_rew_mean          | 0.145       |
| time/                   |             |
|    fps                  | 566         |
|    iterations           | 207         |
|    time_elapsed         | 748         |
|    total_timesteps      | 423936      |
| train/                  |             |
|    approx_kl            | 0.006937563 |
|    clip_fraction        | 0.0457      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.402      |
|    explained_variance   | 0.886       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00308     |
|    n_updates            | 2060        |
|    policy_gradient_loss | -0.00247    |
|    value_loss           | 0.00116     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 93.5        |
|    ep_rew_mean          | 0.16        |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 208         |
|    time_elapsed         | 752         |
|    total_timesteps      | 425984      |
| train/                  |             |
|    approx_kl            | 0.007729626 |
|    clip_fraction        | 0.0555      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.381      |
|    explained_variance   | 0.852       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0374     |
|    n_updates            | 2070        |
|    policy_gradient_loss | -0.0122     |
|    value_loss           | 0.000937    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 93.4        |
|    ep_rew_mean          | 0.159       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 209         |
|    time_elapsed         | 756         |
|    total_timesteps      | 428032      |
| train/                  |             |
|    approx_kl            | 0.008575933 |
|    clip_fraction        | 0.0345      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.385      |
|    explained_variance   | 0.165       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00398     |
|    n_updates            | 2080        |
|    policy_gradient_loss | 0.000769    |
|    value_loss           | 0.00526     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 88.1         |
|    ep_rew_mean          | 0.192        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 210          |
|    time_elapsed         | 759          |
|    total_timesteps      | 430080       |
| train/                  |              |
|    approx_kl            | 0.0022173508 |
|    clip_fraction        | 0.0157       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.402       |
|    explained_variance   | 0.644        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00379     |
|    n_updates            | 2090         |
|    policy_gradient_loss | -0.00281     |
|    value_loss           | 0.00396      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 83           |
|    ep_rew_mean          | 0.207        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 211          |
|    time_elapsed         | 763          |
|    total_timesteps      | 432128       |
| train/                  |              |
|    approx_kl            | 0.0037792285 |
|    clip_fraction        | 0.0331       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.457       |
|    explained_variance   | 0.913        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0157      |
|    n_updates            | 2100         |
|    policy_gradient_loss | -0.00231     |
|    value_loss           | 0.00253      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 81.2        |
|    ep_rew_mean          | 0.21        |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 212         |
|    time_elapsed         | 767         |
|    total_timesteps      | 434176      |
| train/                  |             |
|    approx_kl            | 0.028557837 |
|    clip_fraction        | 0.114       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.387      |
|    explained_variance   | 0.686       |
|    learning_rate        | 0.0003      |
|    loss                 | 7.35e-05    |
|    n_updates            | 2110        |
|    policy_gradient_loss | -0.00694    |
|    value_loss           | 0.00676     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 85.2        |
|    ep_rew_mean          | 0.167       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 213         |
|    time_elapsed         | 770         |
|    total_timesteps      | 436224      |
| train/                  |             |
|    approx_kl            | 0.005829337 |
|    clip_fraction        | 0.0603      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.443      |
|    explained_variance   | 0.677       |
|    learning_rate        | 0.0003      |
|    loss                 | -9.87e-05   |
|    n_updates            | 2120        |
|    policy_gradient_loss | -0.00373    |
|    value_loss           | 0.00641     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 79.1        |
|    ep_rew_mean          | 0.176       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 214         |
|    time_elapsed         | 774         |
|    total_timesteps      | 438272      |
| train/                  |             |
|    approx_kl            | 0.007953191 |
|    clip_fraction        | 0.0563      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.446      |
|    explained_variance   | 0.742       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0213     |
|    n_updates            | 2130        |
|    policy_gradient_loss | -0.00383    |
|    value_loss           | 0.00157     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 80.5         |
|    ep_rew_mean          | 0.159        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 215          |
|    time_elapsed         | 778          |
|    total_timesteps      | 440320       |
| train/                  |              |
|    approx_kl            | 0.0018330868 |
|    clip_fraction        | 0.0246       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.373       |
|    explained_variance   | 0.46         |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00336     |
|    n_updates            | 2140         |
|    policy_gradient_loss | -0.00189     |
|    value_loss           | 0.00704      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 80          |
|    ep_rew_mean          | 0.171       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 216         |
|    time_elapsed         | 781         |
|    total_timesteps      | 442368      |
| train/                  |             |
|    approx_kl            | 0.016045813 |
|    clip_fraction        | 0.0518      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.414      |
|    explained_variance   | 0.323       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.019       |
|    n_updates            | 2150        |
|    policy_gradient_loss | -0.00396    |
|    value_loss           | 0.00488     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 77.4         |
|    ep_rew_mean          | 0.179        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 217          |
|    time_elapsed         | 785          |
|    total_timesteps      | 444416       |
| train/                  |              |
|    approx_kl            | 0.0075043985 |
|    clip_fraction        | 0.0511       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.472       |
|    explained_variance   | 0.811        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0168       |
|    n_updates            | 2160         |
|    policy_gradient_loss | -0.00265     |
|    value_loss           | 0.00413      |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 82.4       |
|    ep_rew_mean          | 0.152      |
| time/                   |            |
|    fps                  | 565        |
|    iterations           | 218        |
|    time_elapsed         | 789        |
|    total_timesteps      | 446464     |
| train/                  |            |
|    approx_kl            | 0.00465938 |
|    clip_fraction        | 0.0423     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.429     |
|    explained_variance   | 0.715      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00924    |
|    n_updates            | 2170       |
|    policy_gradient_loss | -0.00154   |
|    value_loss           | 0.00224    |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 83.9         |
|    ep_rew_mean          | 0.148        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 219          |
|    time_elapsed         | 792          |
|    total_timesteps      | 448512       |
| train/                  |              |
|    approx_kl            | 0.0073664724 |
|    clip_fraction        | 0.0558       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.459       |
|    explained_variance   | 0.404        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0184      |
|    n_updates            | 2180         |
|    policy_gradient_loss | -0.00243     |
|    value_loss           | 0.00351      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 84.4        |
|    ep_rew_mean          | 0.113       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 220         |
|    time_elapsed         | 796         |
|    total_timesteps      | 450560      |
| train/                  |             |
|    approx_kl            | 0.012246243 |
|    clip_fraction        | 0.0958      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.592      |
|    explained_variance   | 0.603       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00806     |
|    n_updates            | 2190        |
|    policy_gradient_loss | -0.00493    |
|    value_loss           | 0.0029      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 83.9        |
|    ep_rew_mean          | 0.127       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 221         |
|    time_elapsed         | 800         |
|    total_timesteps      | 452608      |
| train/                  |             |
|    approx_kl            | 0.003920974 |
|    clip_fraction        | 0.0415      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.427      |
|    explained_variance   | 0.756       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0127     |
|    n_updates            | 2200        |
|    policy_gradient_loss | -0.00407    |
|    value_loss           | 0.00253     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 84.8         |
|    ep_rew_mean          | 0.133        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 222          |
|    time_elapsed         | 803          |
|    total_timesteps      | 454656       |
| train/                  |              |
|    approx_kl            | 0.0033494025 |
|    clip_fraction        | 0.0358       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.433       |
|    explained_variance   | 0.522        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00258     |
|    n_updates            | 2210         |
|    policy_gradient_loss | -0.00189     |
|    value_loss           | 0.00451      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 82.7         |
|    ep_rew_mean          | 0.135        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 223          |
|    time_elapsed         | 807          |
|    total_timesteps      | 456704       |
| train/                  |              |
|    approx_kl            | 0.0091984365 |
|    clip_fraction        | 0.0752       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.482       |
|    explained_variance   | 0.442        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0185      |
|    n_updates            | 2220         |
|    policy_gradient_loss | -0.00197     |
|    value_loss           | 0.00399      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 84.4        |
|    ep_rew_mean          | 0.139       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 224         |
|    time_elapsed         | 811         |
|    total_timesteps      | 458752      |
| train/                  |             |
|    approx_kl            | 0.031299688 |
|    clip_fraction        | 0.144       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.524      |
|    explained_variance   | 0.875       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0486     |
|    n_updates            | 2230        |
|    policy_gradient_loss | -0.0107     |
|    value_loss           | 0.00154     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 81.4         |
|    ep_rew_mean          | 0.166        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 225          |
|    time_elapsed         | 814          |
|    total_timesteps      | 460800       |
| train/                  |              |
|    approx_kl            | 0.0029472578 |
|    clip_fraction        | 0.0256       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.321       |
|    explained_variance   | 0.665        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00142      |
|    n_updates            | 2240         |
|    policy_gradient_loss | -0.00267     |
|    value_loss           | 0.00448      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 77.9        |
|    ep_rew_mean          | 0.206       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 226         |
|    time_elapsed         | 818         |
|    total_timesteps      | 462848      |
| train/                  |             |
|    approx_kl            | 0.003724542 |
|    clip_fraction        | 0.0381      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.451      |
|    explained_variance   | 0.385       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0163     |
|    n_updates            | 2250        |
|    policy_gradient_loss | -0.00371    |
|    value_loss           | 0.00546     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 72.6        |
|    ep_rew_mean          | 0.235       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 227         |
|    time_elapsed         | 822         |
|    total_timesteps      | 464896      |
| train/                  |             |
|    approx_kl            | 0.006490877 |
|    clip_fraction        | 0.0597      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.41       |
|    explained_variance   | 0.458       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00592    |
|    n_updates            | 2260        |
|    policy_gradient_loss | -0.0051     |
|    value_loss           | 0.0126      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 75          |
|    ep_rew_mean          | 0.238       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 228         |
|    time_elapsed         | 825         |
|    total_timesteps      | 466944      |
| train/                  |             |
|    approx_kl            | 0.005215048 |
|    clip_fraction        | 0.0461      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.473      |
|    explained_variance   | 0.583       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00365    |
|    n_updates            | 2270        |
|    policy_gradient_loss | -0.00063    |
|    value_loss           | 0.00848     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 72.2        |
|    ep_rew_mean          | 0.227       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 229         |
|    time_elapsed         | 829         |
|    total_timesteps      | 468992      |
| train/                  |             |
|    approx_kl            | 0.005221365 |
|    clip_fraction        | 0.0489      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.407      |
|    explained_variance   | 0.548       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0041     |
|    n_updates            | 2280        |
|    policy_gradient_loss | -0.00253    |
|    value_loss           | 0.00581     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 75.9        |
|    ep_rew_mean          | 0.216       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 230         |
|    time_elapsed         | 832         |
|    total_timesteps      | 471040      |
| train/                  |             |
|    approx_kl            | 0.010034107 |
|    clip_fraction        | 0.0675      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.39       |
|    explained_variance   | 0.47        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0343      |
|    n_updates            | 2290        |
|    policy_gradient_loss | -0.00369    |
|    value_loss           | 0.00728     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 80.7         |
|    ep_rew_mean          | 0.187        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 231          |
|    time_elapsed         | 836          |
|    total_timesteps      | 473088       |
| train/                  |              |
|    approx_kl            | 0.0074470765 |
|    clip_fraction        | 0.0593       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.384       |
|    explained_variance   | 0.825        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00396      |
|    n_updates            | 2300         |
|    policy_gradient_loss | -0.0063      |
|    value_loss           | 0.00516      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 79.3         |
|    ep_rew_mean          | 0.194        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 232          |
|    time_elapsed         | 839          |
|    total_timesteps      | 475136       |
| train/                  |              |
|    approx_kl            | 0.0063432455 |
|    clip_fraction        | 0.0584       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.339       |
|    explained_variance   | 0.547        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0185      |
|    n_updates            | 2310         |
|    policy_gradient_loss | -0.00388     |
|    value_loss           | 0.00529      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 85.8        |
|    ep_rew_mean          | 0.202       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 233         |
|    time_elapsed         | 843         |
|    total_timesteps      | 477184      |
| train/                  |             |
|    approx_kl            | 0.004410067 |
|    clip_fraction        | 0.0487      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.405      |
|    explained_variance   | 0.718       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00802     |
|    n_updates            | 2320        |
|    policy_gradient_loss | -0.00563    |
|    value_loss           | 0.00436     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 83.7         |
|    ep_rew_mean          | 0.201        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 234          |
|    time_elapsed         | 847          |
|    total_timesteps      | 479232       |
| train/                  |              |
|    approx_kl            | 0.0024899673 |
|    clip_fraction        | 0.0275       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.391       |
|    explained_variance   | 0.592        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00591      |
|    n_updates            | 2330         |
|    policy_gradient_loss | -0.00254     |
|    value_loss           | 0.00662      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 79.8        |
|    ep_rew_mean          | 0.223       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 235         |
|    time_elapsed         | 850         |
|    total_timesteps      | 481280      |
| train/                  |             |
|    approx_kl            | 0.009521451 |
|    clip_fraction        | 0.0961      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.579      |
|    explained_variance   | 0.526       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00212    |
|    n_updates            | 2340        |
|    policy_gradient_loss | -0.00341    |
|    value_loss           | 0.00727     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 76.7         |
|    ep_rew_mean          | 0.225        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 236          |
|    time_elapsed         | 854          |
|    total_timesteps      | 483328       |
| train/                  |              |
|    approx_kl            | 0.0034214724 |
|    clip_fraction        | 0.0461       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.327       |
|    explained_variance   | 0.496        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00845      |
|    n_updates            | 2350         |
|    policy_gradient_loss | -0.00481     |
|    value_loss           | 0.00555      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 73.9         |
|    ep_rew_mean          | 0.207        |
| time/                   |              |
|    fps                  | 565          |
